proper_colour_name,proper_colour,x,y,latitude,longitude
yellow,"[205, 220, 57]",885,1409,53.3222573348759,-6.312361439449576
red,"[235, 52, 0]",873,1409,53.32225763960114,-6.313662641654661
yellow,"[205, 220, 57]",619,1409,53.322264089618834,-6.341204754995614
yellow,"[205, 220, 57]",607,1409,53.32226439434408,-6.342505957200698
red,"[235, 52, 0]",1849,1397,53.323010159789554,-6.20783062574008
red,"[235, 52, 0]",1811,1397,53.32301112475283,-6.211951099389514
yellow,"[205, 220, 57]",1798,1397,53.323011454871846,-6.213360735111689
red,"[235, 52, 0]",1773,1397,53.32301208971611,-6.216071573038948
yellow,"[205, 220, 57]",1608,1397,53.32301627968823,-6.2339631033588585
yellow,"[205, 220, 57]",1595,1397,53.32301660980725,-6.235372739081034
orange,"[255, 152, 0]",1583,1397,53.323016914532495,-6.236673941286118
orange,"[255, 152, 0]",1570,1397,53.32301724465151,-6.238083577008292
yellow,"[205, 220, 57]",1506,1397,53.32301886985282,-6.245023322102076
red,"[235, 52, 0]",1468,1397,53.323019834816094,-6.24914379575151
yellow,"[205, 220, 57]",1455,1397,53.32302016493511,-6.250553431473684
red,"[235, 52, 0]",1405,1397,53.323021434623634,-6.255975107328203
yellow,"[205, 220, 57]",1379,1397,53.32302209486166,-6.258794378772553
yellow,"[205, 220, 57]",1367,1397,53.32302239958691,-6.260095580977637
yellow,"[205, 220, 57]",1291,1397,53.323024329513466,-6.268336528276505
orange,"[255, 152, 0]",1265,1397,53.323024989751495,-6.271155799720854
yellow,"[205, 220, 57]",1253,1397,53.32302529447674,-6.272457001925939
orange,"[255, 152, 0]",1215,1397,53.32302625944002,-6.2765774755753725
yellow,"[205, 220, 57]",1189,1397,53.32302691967805,-6.279396747019723
red,"[235, 52, 0]",1126,1397,53.32302851948559,-6.286228058596415
green,"[96, 184, 23]",1101,1397,53.32302915432985,-6.288938896523675
yellow,"[205, 220, 57]",1012,1397,53.32303141437542,-6.2985894795447175
red,"[235, 52, 0]",961,1397,53.32303270945771,-6.304119588916326
yellow,"[205, 220, 57]",847,1397,53.323035604347545,-6.316481009864628
yellow,"[205, 220, 57]",657,1397,53.32304042916393,-6.337083378111798
red,"[235, 52, 0]",632,1397,53.323041064008194,-6.339794216039056
yellow,"[205, 220, 57]",619,1397,53.32304139412721,-6.341203851761232
yellow,"[205, 220, 57]",1836,1384,53.32385256979264,-6.2092392829583405
yellow,"[205, 220, 57]",1811,1384,53.3238532046369,-6.2119501208856
red,"[235, 52, 0]",1785,1384,53.32385386487493,-6.214769392329949
red,"[235, 52, 0]",1773,1384,53.323854169600175,-6.216070594535034
yellow,"[205, 220, 57]",1646,1384,53.32385739460903,-6.22984165120551
red,"[235, 52, 0]",1583,1384,53.32385899441656,-6.236672962782204
yellow,"[205, 220, 57]",1570,1384,53.323859324535576,-6.238082598504379
yellow,"[205, 220, 57]",1557,1384,53.3238596546546,-6.239492234226553
yellow,"[205, 220, 57]",1519,1384,53.32386061961788,-6.243612707875987
red,"[235, 52, 0]",1443,1384,53.32386254954443,-6.251853655174855
yellow,"[205, 220, 57]",1430,1384,53.32386287966344,-6.25326329089703
yellow,"[205, 220, 57]",1405,1384,53.32386351450771,-6.255974128824289
yellow,"[205, 220, 57]",1367,1384,53.32386447947098,-6.260094602473723
yellow,"[205, 220, 57]",1354,1384,53.32386480959,-6.261504238195898
yellow,"[205, 220, 57]",1278,1384,53.32386673951655,-6.269745185494766
yellow,"[205, 220, 57]",1265,1384,53.32386706963557,-6.271154821216941
yellow,"[205, 220, 57]",1253,1384,53.32386737436081,-6.272456023422024
red,"[235, 52, 0]",1202,1384,53.32386866944311,-6.277986132793633
yellow,"[205, 220, 57]",999,1384,53.32387382437851,-6.299998136762978
yellow,"[205, 220, 57]",987,1384,53.32387412910375,-6.301299338968063
red,"[235, 52, 0]",847,1384,53.32387768423162,-6.3164800313607135
yellow,"[205, 220, 57]",835,1384,53.32387798895686,-6.317781233565798
red,"[235, 52, 0]",809,1384,53.32387864919489,-6.320600505010148
yellow,"[205, 220, 57]",771,1384,53.323879614158166,-6.324720978659582
yellow,"[205, 220, 57]",759,1384,53.32387991888341,-6.326022180864666
yellow,"[205, 220, 57]",733,1384,53.32388057912144,-6.328841452309016
red,"[235, 52, 0]",645,1384,53.323882813773245,-6.338383601812968
yellow,"[205, 220, 57]",1861,1371,53.324694014832446,-6.206527466527168
yellow,"[205, 220, 57]",1798,1371,53.32469561463999,-6.213358778103861
yellow,"[205, 220, 57]",1735,1371,53.324697214447525,-6.220190089680553
yellow,"[205, 220, 57]",1722,1371,53.32469754456654,-6.221599725402728
red,"[235, 52, 0]",1659,1371,53.32469914437408,-6.228431036979422
red,"[235, 52, 0]",1646,1371,53.32469947449309,-6.229840672701596
